"0","Country","Country_code","Series","Series_code","Year","Number"
"3175","Timor-Leste","TMP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","0"
"3195","Vietnam","VNM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","0"
"3215","China","CHN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","8.58320460239389"
"3235","India","IND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","5.16399436995436"
"3255","Indonesia","IDN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","22.7341821807882"
"3275","Japan","JPN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","14.094813740854"
"3295","Korea, Rep.","KOR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","29.780569126321"
"3315","South Asia","SAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","6.33269663524756"
"3335","North America","NAC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","8.84674143647513"
"3355","World","WLD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","19.0658356467371"
"3375","Middle East & North Africa","MEA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","27.6787652305148"
"3395","Sub-Saharan Africa","SSF","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","27.628646220277"
"3415","Low income","LIC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","0"
"3435","Europe & Central Asia","ECS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","28.4902129355134"
"3455","European Union","EUU","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","28.1426283097703"
"3475","East Asia & Pacific","EAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","19.353669457508"
"3495","Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","29.7985795318814"
"3515","Central Europe and the Baltics","CEB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","0"
"3535","Latin America & Caribbean","LCN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","17.0037997225731"
"3555","Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","0"
"3575","Bangladesh","BGD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","5.38447860037049"
"3595","Bhutan","BTN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","14.9929787889719"
"3615","Cambodia","KHM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","0"
"3635","Hong Kong SAR, China","HKG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","107.174034976701"
"3655","Korea, Dem. People’s Rep.","PRK","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","0"
"3675","Lao PDR","LAO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","4.03755905433226"
"3695","Myanmar","MMR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","0"
"3715","Philippines","PHL","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","24.0155766126988"
"3735","Pakistan","PAK","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","10.4233487925896"
"3755","Singapore","SGP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","152.367363235752"
"3775","Sri Lanka","LKA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","26.0120092378753"
"3795","Thailand","THA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","23.2136293981282"
"3815","Timor-Leste","TMP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","0"
"3835","Vietnam","VNM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1985","0"
